@id;@type;http://data.doremus.org/ontology#U12_has_genre;http://data.doremus.org/ontology#U16_has_catalogue_statement;http://erlangen-crm.org/current/P102_has_title;http://erlangen-crm.org/current/P3_has_note;http://data.doremus.org/ontology#U40_has_catalogue_name;http://data.doremus.org/ontology#U41_has_catalogue_number;http://erlangen-crm.org/efrbroo/R9_is_realised_in;http://data.doremus.org/ontology#U4_had_princeps_publication;http://erlangen-crm.org/efrbroo/R10_has_member;http://erlangen-crm.org/efrbroo/R40_has_representative_expression;http://data.doremus.org/ontology#U17_has_opus_statement;http://data.doremus.org/ontology#U42_has_opus_number;http://data.doremus.org/ontology#U23_has_casting_detail;http://data.doremus.org/ontology#U2_foresees_use_of_medium_of_performance_of_type;http://erlangen-crm.org/current/P1_is_identified_by;http://erlangen-crm.org/current/P67_refers_to;http://erlangen-crm.org/efrbroo/R19_created_a_realisation_of;http://erlangen-crm.org/efrbroo/R24_created;http://data.doremus.org/ontology#U13_has_casting;http://erlangen-crm.org/efrbroo/R44_carried_out_by;http://erlangen-crm.org/efrbroo/R50_assigned_to;http://erlangen-crm.org/efrbroo/R51_assigned;http://erlangen-crm.org/current/P4_has_time-span;http://erlangen-crm.org/current/P9_consists_of;http://erlangen-crm.org/efrbroo/R17_created;http://erlangen-crm.org/current/P82_at_some_time_within;http://data.doremus.org/ontology#U31_had_function_of_type;http://erlangen-crm.org/current/P14_carried_out_by;http://erlangen-crm.org/current/P165_incorporates;http://erlangen-crm.org/efrbroo/R25_performed;http://data.doremus.org/ontology#U44_has_dedication_statement;http://data.doremus.org/ontology#U10_has_order_number;http://data.doremus.org/ontology#U11_has_key;http://erlangen-crm.org/current/P81_ongoing_throughout;http://data.doremus.org/ontology#U5_had_premiere;http://erlangen-crm.org/efrbroo/R3_is_realised_in;http://data.doremus.org/ontology#U43_has_opus_subnumber
_:n4c91e587c8804ce4a24a1896dadc47ffb264;['http://data.doremus.org/ontology#M14_Medium_Of_Performance'];;;;;;;;;;;;;;;[{'@language': 'fr', '@value': 'cordes'}];;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/work/67051c49-e408-37bc-a4cf-e3e59305f501;['http://erlangen-crm.org/efrbroo/F15_Complex_Work'];;;;;;;;;[{'@id': 'http://data.doremus.org/work/0c3ae778-c1bb-3306-a4da-48a2b2fef54b'}];[{'@id': 'http://data.doremus.org/expression/d73a9eb4-4c45-35e2-ab42-ae8ae60492b6'}];;;;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/expression/545b7476-a5e0-35fb-8096-7476de477f9a;['http://erlangen-crm.org/efrbroo/F22_Self-Contained_Expression'];[{'@id': 'http://data.doremus.org/vocabulary/iaml/genre/uuu'}];;[{'@value': 'Un sourire'}];[{'@value': 'Éd. : Paris : Leduc'}];;;;;;;;;;;;[{'@id': 'http://data.doremus.org/expression/545b7476-a5e0-35fb-8096-7476de477f9a/dedication'}];;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/work/a19b244b-7d44-35ea-be53-4858e9a02dc1;['http://erlangen-crm.org/efrbroo/F15_Complex_Work'];;;;;;;;;[{'@id': 'http://data.doremus.org/work/f260ca70-b96a-3f8d-9655-266ba32c3de7'}];[{'@id': 'http://data.doremus.org/expression/81b10201-68ff-31bc-afec-58510f051bf8'}];;;;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/event/748f771a-0a89-3fe3-961f-1dccba2dddc9;['http://erlangen-crm.org/efrbroo/F30_Publication_Event'];;;;"[{'@value': ""1re éd. : Paris : l'auteur : Boivin : Le Clerc, [ca 1729-1730]""}]";;;;;;;;;;;;;[{'@id': 'http://data.doremus.org/work/1571476c-640e-3837-a1a9-647fafef3ea2'}];[{'@id': 'http://data.doremus.org/publication/97a94b8e-a74c-3fd5-b5f1-d6127ad90606'}];;;;;;;;;;;;;;;;;;;
http://data.doremus.org/work/da299e32-988c-39bd-88fd-ec7641d8cec2;['http://erlangen-crm.org/efrbroo/F15_Complex_Work'];;;;;;;;;[{'@id': 'http://data.doremus.org/work/14737b31-7519-3a71-96ac-3ec90665b093'}];[{'@id': 'http://data.doremus.org/expression/1ef1740e-7bec-39bf-a6f6-be6fb97bd5bf'}];;;;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/expression/94f43c92-bf5c-3fc6-b155-f06a3a5c941b;['http://erlangen-crm.org/efrbroo/F22_Self-Contained_Expression'];[{'@id': 'http://data.doremus.org/vocabulary/iaml/genre/mz'}];[{'@id': '_:n4c91e587c8804ce4a24a1896dadc47ffb702'}];[{'@value': '3 mazurkas'}];;;;;;;;;;;;;[{'@id': 'http://data.doremus.org/expression/94f43c92-bf5c-3fc6-b155-f06a3a5c941b/dedication'}];;;[{'@id': 'http://data.doremus.org/expression/94f43c92-bf5c-3fc6-b155-f06a3a5c941b/casting/1'}];;;;;;;;;;;;;;;;;;
_:n4c91e587c8804ce4a24a1896dadc47ffb702;['http://data.doremus.org/ontology#M1_Catalogue_Statement'];;;;[{'@value': 'CT 83-85'}];[{'@value': 'CT'}];[{'@value': '83-85'}];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/artist/68d6fa90-86ef-388d-8256-e94ae5e402fd;['http://erlangen-crm.org/current/E21_Person'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/event/9368fb5d-f940-33a7-988d-a801138e7015;['http://erlangen-crm.org/efrbroo/F42_Representative_Expression_Assignment'];;;;;;;;;;;;;;;;;;;;[{'@id': 'http://isni.org/isni/0000000121751303'}];[{'@id': 'http://data.doremus.org/work/e7388d81-414c-317e-aed2-d12aa6f3f912'}];[{'@id': 'http://data.doremus.org/expression/f061d70b-028d-33c6-b1f9-e9f386127abf'}];;;;;;;;;;;;;;;
http://data.doremus.org/event/2338db86-8d8c-3b7d-a3d5-2eebaeeeb500;['http://erlangen-crm.org/efrbroo/F42_Representative_Expression_Assignment'];;;;;;;;;;;;;;;;;;;;[{'@id': 'http://isni.org/isni/0000000121751303'}];[{'@id': 'http://data.doremus.org/work/a5ca570c-0589-32db-a8b9-f8d91e7ed6cf'}];[{'@id': 'http://data.doremus.org/expression/b05d7b7f-346b-39f1-862f-266a38b80da5'}];;;;;;;;;;;;;;;
http://data.doremus.org/event/90101a23-8375-3762-ae8a-568e2d8daff3;['http://erlangen-crm.org/efrbroo/F28_Expression_Creation'];;;;;;;;;;;;;;;;;[{'@id': 'http://data.doremus.org/work/14737b31-7519-3a71-96ac-3ec90665b093'}];;;;;;[{'@id': '_:n4c91e587c8804ce4a24a1896dadc47ffb397'}];[{'@id': '_:n4c91e587c8804ce4a24a1896dadc47ffb398'}];[{'@id': 'http://data.doremus.org/expression/1ef1740e-7bec-39bf-a6f6-be6fb97bd5bf'}];;;;;;;;;;;;
_:n4c91e587c8804ce4a24a1896dadc47ffb397;['http://erlangen-crm.org/current/E52_Time-Span'];;;;;;;;;;;;;;;;;;;;;;;;;;[{'@type': 'http://purl.org/dc/terms/W3CDTF', '@value': '19540330/19540930'}];;;;;;;;;;;
_:n4c91e587c8804ce4a24a1896dadc47ffb398;['http://erlangen-crm.org/current/E7_Activity'];;;;;;;;;;;;;;;;;;;;;;;;;;;[{'@language': 'fr', '@value': 'compositeur'}];[{'@id': 'http://data.doremus.org/artist/a35e280f-9148-3a6f-ab07-340977855cbf'}];;;;;;;;;
http://data.doremus.org/work/4040bf55-7ab6-3308-a9b9-8d62f32b382f;['http://erlangen-crm.org/efrbroo/F14_Individual_Work'];;;;;;;[{'@id': 'http://data.doremus.org/expression/2155beea-80c3-37db-8ed0-42924c85431d'}];[{'@id': 'http://data.doremus.org/event/fa39e4cf-395d-33ed-9d81-0fc0ae7dc9cb'}];;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/expression/f827686c-c3ae-3972-b314-cf6e7fb49dd8;['http://erlangen-crm.org/efrbroo/F22_Self-Contained_Expression'];[{'@id': 'http://data.doremus.org/vocabulary/iaml/genre/ov'}];;[{'@value': 'Ouverture zu Coriolan'}, {'@value': 'Ouverture de Coriolan'}, {'@value': 'Coriolan'}];"[{'@value': 'Ouverture composée pour la tragédie ""Coriolan"" de Heinrich Joseph von Collin'}]";;;;;;;[{'@id': '_:n4c91e587c8804ce4a24a1896dadc47ffb260'}];;;;;[{'@id': 'http://data.doremus.org/expression/f827686c-c3ae-3972-b314-cf6e7fb49dd8/dedication'}];;;;;;;;;;;;;;;;;;;;;
_:n4c91e587c8804ce4a24a1896dadc47ffb260;['http://data.doremus.org/ontology#M2_Opus_Statement'];;;;[{'@value': 'Op. 62'}];;;;;;;;[{'@value': '62'}];;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/work/ac93f8eb-3a67-332f-bc53-aee8eae99920;['http://erlangen-crm.org/efrbroo/F14_Individual_Work'];;;;;;;[{'@id': 'http://data.doremus.org/expression/740acd99-e694-3c33-a4cf-89d49c5475fd'}];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/expression/35be40b0-fde5-34ff-92eb-e6ede772339f/casting/1;['http://data.doremus.org/ontology#M6_Casting'];;;;[{'@value': 'Cor, piano ou orchestre'}];;;;;;;;;[{'@id': '_:n4c91e587c8804ce4a24a1896dadc47ffb659'}, {'@id': '_:n4c91e587c8804ce4a24a1896dadc47ffb660'}];;;;;;;;;;;;;;;;;;;;;;;;
_:n4c91e587c8804ce4a24a1896dadc47ffb659;['http://data.doremus.org/ontology#M23_Casting_Detail'];;;;;;;;;;;;;;[{'@id': 'http://data.doremus.org/vocabulary/iaml/mop/bho'}];;;;;;;;;;;;;;;;;;;;;;;
_:n4c91e587c8804ce4a24a1896dadc47ffb660;['http://data.doremus.org/ontology#M23_Casting_Detail'];;;;;;;;;;;;;;[{'@id': '_:n4c91e587c8804ce4a24a1896dadc47ffb661'}];;;;;;;;;;;;;;;;;;;;;;;
_:n4c91e587c8804ce4a24a1896dadc47ffb661;['http://data.doremus.org/ontology#M14_Medium_Of_Performance'];;;;;;;;;;;;;;;[{'@language': 'fr', '@value': 'piano ou orchestre'}];;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/event/91235cd2-0e37-3301-85cb-6432258f97c0;['http://erlangen-crm.org/efrbroo/F28_Expression_Creation'];;;;;;;;;;;;;;;;;;;;;;;;;[{'@id': 'http://data.doremus.org/expression/f9ce0bfd-5f9a-3181-97d1-5e66c686bf72'}];;;;;;;;;;;;
http://data.doremus.org/work/734a821b-1c52-33f9-9fa8-7b3c90fd775a;['http://erlangen-crm.org/efrbroo/F14_Individual_Work'];;;;;;;[{'@id': 'http://data.doremus.org/expression/a2e6b03e-74d7-3328-8806-150045b19789'}];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/artist/a9018ddf-2206-34ed-9f71-073a94661d14;['http://erlangen-crm.org/current/E21_Person'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/expression/1eb21b69-067a-348d-97d5-dfe0733816f0;['http://erlangen-crm.org/efrbroo/F25_Performance_Plan'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;[{'@id': 'http://data.doremus.org/expression/2263baf9-9469-3d17-bc82-7dde9736c014'}];;;;;;;;
http://data.doremus.org/work/e35ee5a1-287b-3cf8-868a-a04345186e10;['http://erlangen-crm.org/efrbroo/F14_Individual_Work'];;;;;;;[{'@id': 'http://data.doremus.org/expression/d0b2698f-d178-30fd-91cc-3c61a5cda9c1'}];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/expression/756d66e5-b116-3370-9da9-b1fbc9c7a956;['http://erlangen-crm.org/efrbroo/F22_Self-Contained_Expression'];[{'@id': 'http://data.doremus.org/vocabulary/iaml/genre/li'}];;[{'@value': 'Sechs Gesänge aus dem Arabischen'}];"[{'@value': 'Poèmes du compositeur à l\'exception de quelques lignes du premier empruntées à ""Die erste Walpurgisnacht"" de Goethe, et du sixième (traduction par Friedrich Rückert d\'un poème de Hafiz)'}]";;;;;;;;;;;;[{'@id': 'http://data.doremus.org/expression/756d66e5-b116-3370-9da9-b1fbc9c7a956/dedication'}];;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/performance/d4930d57-74e0-3f03-916b-5ab836d346c6;['http://erlangen-crm.org/efrbroo/F31_Performance'];;;;[{'@value': '1re représentation : Paris, Comédie Italienne, 21 octobre 1784'}];;;;;;;;;;;;;;;;;;;;;;;;;;[{'@id': 'http://data.doremus.org/expression/35796aac-0191-3d3e-a8af-ddffd245dabd'}];;;;;;;
http://data.doremus.org/work/520f7877-dad9-3e1d-8954-b43d934f9f65;['http://erlangen-crm.org/efrbroo/F15_Complex_Work'];;;;;;;;;[{'@id': 'http://data.doremus.org/work/eae33b78-d9fe-3975-b300-ac02bd962e6a'}];[{'@id': 'http://data.doremus.org/expression/dd4cd1d3-1511-3c20-b9de-daa04641edfc'}];;;;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/expression/81b10201-68ff-31bc-afec-58510f051bf8;['http://erlangen-crm.org/efrbroo/F22_Self-Contained_Expression'];[{'@id': 'http://data.doremus.org/vocabulary/iaml/genre/uuu'}];[{'@id': '_:n4c91e587c8804ce4a24a1896dadc47ffb285'}];[{'@value': 'Nuit de Pouchkine'}];"[{'@value': 'Sur un extrait du poème d\'Alexandre Pouchkine ""Le cavalier de bronze"" adapté par Maurice Ohana'}]";;;;;;;;;;;;[{'@id': 'http://data.doremus.org/expression/81b10201-68ff-31bc-afec-58510f051bf8/dedication'}];;;;;;;;;;;;;;;;;;;;;
_:n4c91e587c8804ce4a24a1896dadc47ffb285;['http://data.doremus.org/ontology#M1_Catalogue_Statement'];;;;[{'@value': 'MO 104'}];[{'@value': 'MO'}];[{'@value': '104'}];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/event/06c8cd9a-b54c-34a6-8733-112be30943ca;['http://erlangen-crm.org/efrbroo/F28_Expression_Creation'];;;;;;;;;;;;;;;;;[{'@id': 'http://data.doremus.org/work/abb7042c-c6c3-3739-9596-f28b863398ea'}];;;;;;[{'@id': '_:n4c91e587c8804ce4a24a1896dadc47ffb400'}];[{'@id': '_:n4c91e587c8804ce4a24a1896dadc47ffb401'}];[{'@id': 'http://data.doremus.org/expression/62a73195-8eae-36e3-ac64-2cb205570db5'}];;;;;;;;;;;;
_:n4c91e587c8804ce4a24a1896dadc47ffb400;['http://erlangen-crm.org/current/E52_Time-Span'];;;;;;;;;;;;;;;;;;;;;;;;;;[{'@type': 'http://purl.org/dc/terms/W3CDTF', '@value': '19820101/19851231'}];;;;;;;;;;;
_:n4c91e587c8804ce4a24a1896dadc47ffb401;['http://erlangen-crm.org/current/E7_Activity'];;;;;;;;;;;;;;;;;;;;;;;;;;;[{'@language': 'fr', '@value': 'compositeur'}];[{'@id': 'http://data.doremus.org/artist/7c090d69-93dc-397d-985f-a75268cbab51'}];;;;;;;;;
http://data.doremus.org/event/f58d59d5-141a-3a35-bc76-64321a1715e0;['http://erlangen-crm.org/efrbroo/F42_Representative_Expression_Assignment'];;;;;;;;;;;;;;;;;;;;[{'@id': 'http://isni.org/isni/0000000121751303'}];[{'@id': 'http://data.doremus.org/work/79c0690c-0b6a-3661-80cf-504215966eea'}];[{'@id': 'http://data.doremus.org/expression/29a3dca3-8d28-34e8-9441-23950bb8f05c'}];;;;;;;;;;;;;;;
http://data.doremus.org/expression/b903d413-9d2b-3883-b6df-35947a6b780f;['http://erlangen-crm.org/efrbroo/F22_Self-Contained_Expression'];[{'@id': 'http://data.doremus.org/vocabulary/iaml/genre/ft'}];;[{'@value': 'Fantaisie'}];;;;;;;;;;;;;;;;[{'@id': 'http://data.doremus.org/expression/b903d413-9d2b-3883-b6df-35947a6b780f/casting/1'}];;;;;;;;;;;;;;;;;;
http://data.doremus.org/expression/c5de2f8d-622a-302e-9848-a6ee43a9ab93;['http://erlangen-crm.org/efrbroo/F22_Self-Contained_Expression'];[{'@id': 'http://data.doremus.org/vocabulary/iaml/genre/zz'}];;[{'@value': 'Punkte'}];[{'@value': 'Date de révision : 1962'}, {'@value': 'Nouvelles révisions : 1966 et 1993'}];;;;;;;[{'@id': '_:n4c91e587c8804ce4a24a1896dadc47ffb630'}];;;;;;;;;;;;;;;;;;;;;;;;;;
_:n4c91e587c8804ce4a24a1896dadc47ffb630;['http://data.doremus.org/ontology#M2_Opus_Statement'];;;;[{'@value': 'Op. 1/2'}];;;;;;;;[{'@value': '1/2'}];;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/expression/f55c828b-7e28-3e32-8004-51e4844ac58a/dedication;['http://data.doremus.org/ontology#M15_Dedication'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[{'@language': 'fr', '@value': 'Dédicace à Nicolas Ier, tsar de Russie'}];;;;;;
http://data.doremus.org/expression/8098c838-5316-3b41-821b-5e6e05be05e8/dedication;['http://data.doremus.org/ontology#M15_Dedication'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[{'@language': 'fr', '@value': 'Dédicace à James William Davison'}];;;;;;
http://data.doremus.org/event/e17bc3cc-bee4-3714-888c-f9ae75b888ec;['http://erlangen-crm.org/efrbroo/F28_Expression_Creation'];;;;;;;;;;;;;;;;;;;;;;;;;[{'@id': 'http://data.doremus.org/expression/ec7efccb-1012-3e7e-8407-852b48e116a3'}];;;;;;;;;;;;
http://data.doremus.org/event/95a7e44e-a179-3267-b67e-f7159dc63bb7;['http://erlangen-crm.org/efrbroo/F42_Representative_Expression_Assignment'];;;;;;;;;;;;;;;;;;;;[{'@id': 'http://isni.org/isni/0000000121751303'}];[{'@id': 'http://data.doremus.org/work/89445f96-7538-3cfc-b5a9-9e2e7220582e'}];[{'@id': 'http://data.doremus.org/expression/5356f52c-0e26-3775-ab38-aa86122f54f6'}];;;;;;;;;;;;;;;
http://data.doremus.org/artist/248b1b61-a6b5-3d14-9013-678085e8fb21;['http://erlangen-crm.org/current/E21_Person'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/expression/170bca3e-9600-3565-959d-b1873416e1b7/dedication;['http://data.doremus.org/ontology#M15_Dedication'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[{'@language': 'fr', '@value': 'Dédicace à la mémoire de Serge Prokofiev'}];;;;;;
http://data.doremus.org/expression/7ba97606-56c2-321c-9703-9aa617bfe395;['http://erlangen-crm.org/efrbroo/F22_Self-Contained_Expression'];[{'@id': 'http://data.doremus.org/vocabulary/iaml/genre/op'}];;"[{'@value': ""L'opéra de quat'sous""}, {'@value': 'The threepenny opera'}, {'@value': 'Die Dreigroschenoper'}]";"[{'@value': 'Pièce avec musique en 3 actes'}, {'@value': 'Livret de Bertolt Brecht et Elisabeth Hauptmann, d\'après ""The beggar\'s opera"" de John Gay'}, {'@value': 'Le compositeur en a tiré une suite pour instruments à vent intitulée ""Kleine Dreigroschenmusik""'}]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/event/ae039d89-ba12-3529-b35e-de149f8d6e76;['http://erlangen-crm.org/efrbroo/F42_Representative_Expression_Assignment'];;;;;;;;;;;;;;;;;;;;[{'@id': 'http://isni.org/isni/0000000121751303'}];[{'@id': 'http://data.doremus.org/work/eaa5eb71-ec3e-3f2a-8837-d05368b42125'}];[{'@id': 'http://data.doremus.org/expression/5695f374-a496-34f1-b7d8-e4453725982d'}];;;;;;;;;;;;;;;
http://data.doremus.org/expression/2263baf9-9469-3d17-bc82-7dde9736c014;['http://erlangen-crm.org/efrbroo/F22_Self-Contained_Expression'];[{'@id': 'http://data.doremus.org/vocabulary/iaml/genre/su'}];;[{'@value': 'Lemminkäis-sarja'}, {'@value': 'Lemminkäinen'}];"[{'@value': 'Comprend 4 légendes : ""Lemminkäinen ja saaren neidot"", ""Lemminkäinen Tuonelassa"", ""Tuonelan joutsen"", ""Lemminkäinen palaa kotitienoille""'}, {'@value': 'Date de révision : 1897'}, {'@value': '1900 (rév., no 3-4)'}, {'@value': '1939 (rév., no 1-2)'}]";;;;;;;[{'@id': '_:n4c91e587c8804ce4a24a1896dadc47ffb256'}];;;;;;;;;;;;;;;;;;;;;;;;;;
_:n4c91e587c8804ce4a24a1896dadc47ffb256;['http://data.doremus.org/ontology#M2_Opus_Statement'];;;;[{'@value': 'Op. 22'}];;;;;;;;[{'@value': '22'}];;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/artist/d3a49656-4bc3-3faf-afb0-2d5cd9b7e9ea;['http://erlangen-crm.org/current/E21_Person'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
